group_id,group_name,item_no,food_type_th,reference_serving,serving_value,unit
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,2,จมูกข้าว จมูกข้าวสาลี,10 กรัม,10,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,3,ข้าวโอ๊ตดิบ,20 กรัม,20,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,4,แป้งสาลี แป้งข้าวเจ้า แป้งข้าวเหนียว แป้งท้าวยายม่อม แป้งเมล็ดข้าวโพดบด,30 กรัม,30,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,5,แป้งข้าวโพด แป้งมันสำปะหลัง แป้งมันฝรั่ง,10 กรัม,10,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,6.1,อาหารเช้าจากธัญพืช (น้ำหนักน้อยกว่า 20 กรัม/ถ้วย),20 กรัม,20,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,6.2,อาหารเช้าจากธัญพืช (น้ำหนัก 20-43 กรัม/ถ้วย),30 กรัม,30,กรัม
,,,อาหารเช้าจากธัญพืช (น้ำหนักมากกว่า 43 กรัม/ถ้วย),55 กรัม,55,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,7,พาสต้า มะกะโรนี สปาเกตตี้ และอื่น ๆ (สุก),140 กรัม,150,กรัม
,,,พาสต้า มะกะโรนี สปาเกตตี้ และอื่น ๆ (ดิบ),55 กรัม,55,กรัม
,,,พาสต้า มะกะโรนี สปาเกตตี้ และอื่น ๆ (ทอด),25 กรัม,25,กรัม
,,,ข้าวเจ้า ข้าวบาร์เล่ย์ ก๋วยเตี๋ยวเส้นเล็ก เส้นหมี่ ก๋วยจั๊บ บะหมี่ วุ้นเส้น ขนมจีนและอื่น ๆ (ดิบ),45 กรัม,45,กรัม
7,ธัญพืช ถั่ว เมล็ด ฯลฯ,8,ข้าวเจ้า ข้าวบาร์เล่ย์ ก๋วยเตี๋ยวเส้นเล็ก เส้นหมี่ ก๋วยจั๊บ บะหมี่ วุ้นเส้น ขนมจีนและอื่น ๆ (สุก),120 กรัม,120,กรัม
